FREQ,REF_AREA,Territorio,DATA_TYPE,Indicatore,CATEG_OF_BENEFICIARIES,Area di utenza,CATEGORY_OF_SERVICE,Servizio o intervento,TIME_PERIOD,Osservazione
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2023,5545740
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2023,89786
A,ITC4,Lombardia,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,661681657
A,ITC4,Lombardia,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,423
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2023,98372
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2023,68042
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2023,2571
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2023,17704
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2023,60929
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2023,0
A,T03010,Distretto Isola Bergamasca,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,4280705
A,T03010,Distretto Isola Bergamasca,EXPTPOP,Spesa dei comuni sulla popolazione di riferimento (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,183
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,RICSOC,"Attività ricreative, sociali, culturali",2023,67264
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,EMPLOY,Sostegno all’inserimento lavorativo,2023,88110
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,CONTEMP,Contributi per l’inserimento lavorativo,2023,0
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,SUMDAYC,Centri diurni estivi,2023,34243
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,AGGRC,Centri di aggregazione / sociali,2023,1500
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,WSRESID,Centri estivi o invernali (con pernottamento),2023,0
A,T03040,Distretto di Bellano,EXPMUN,Spesa dei comuni (euro),FAM,Famiglia e minori,ALL,Tutte le voci,2023,3737698
