codice_comune,comune_key,comune_fonte,anno,pop_totale,pop_15_29,m0602_corrente_impegni,m0602_capitale_impegni,spesa_corrente_totale_impegni,eur_m0602_per_abitante,eur_m0602_per_giovane_15_29,pct_spesa_corrente_m0602,m0602_zero,dato_bilancio_mancante
016005,alme,COMUNE DI ALME',2024,5491,886,0.0,0.0,2811471.56,0.0,0.0,0.0,True,False
016006,almenno san bartolomeo,COMUNE DI ALMENNO SAN BARTOLOMEO,2024,6543,1063,0.0,0.0,4517312.24,0.0,0.0,0.0,True,False
016007,almenno san salvatore,COMUNE DI ALMENNO SAN SALVATORE,2024,5500,869,0.0,0.0,3133930.58,0.0,0.0,0.0,True,False
016008,alzano lombardo,COMUNE DI ALZANO LOMBARDO,2024,13495,2174,42855.0,0.0,10058238.65,3.1756206002223046,19.712511499540017,0.42606863379603743,False,False
016009,ambivere,COMUNE DI AMBIVERE,2024,2349,368,0.0,0.0,2045698.61,0.0,0.0,0.0,True,False
016010,antegnate,COMUNE DI ANTEGNATE,2024,3264,549,0.0,0.0,2652583.98,0.0,0.0,0.0,True,False
016011,arcene,COMUNE DI ARCENE,2024,4949,771,1500.0,0.0,3037020.51,0.3030915336431602,1.9455252918287937,0.04939051267717649,False,False
016012,ardesio,COMUNE DI ARDESIO,2024,3308,479,6140.96,0.0,2451319.14,1.85639661426844,12.820375782881003,0.2505165443288629,False,False
016013,arzago d adda,COMUNE DI ARZAGO D'ADDA,2024,2741,482,0.0,0.0,1642738.37,0.0,0.0,0.0,True,False
016014,averara,COMUNE DI AVERARA,2024,178,16,0.0,0.0,334362.43,0.0,0.0,0.0,True,False
016015,aviatico,COMUNE DI AVIATICO,2024,580,56,0.0,0.0,1056695.98,0.0,0.0,0.0,True,False
016016,azzano san paolo,COMUNE DI AZZANO SAN PAOLO,2024,7600,1245,10104.1,0.0,5818057.26,1.3294868421052632,8.115742971887551,0.1736679367091688,False,False
016017,azzone,COMUNE DI AZZONE,2024,357,40,0.0,0.0,514737.76,0.0,0.0,0.0,True,False
016018,bagnatica,COMUNE DI BAGNATICA,2024,4489,725,23359.5,0.0,3717444.71,5.203720204945422,32.22,0.6283751830165082,False,False
016019,barbata,COMUNE DI BARBATA,2024,694,96,2000.0,0.0,675896.14,2.881844380403458,20.833333333333332,0.2959034504916687,False,False
016020,bariano,COMUNE DI BARIANO,2024,4235,639,6528.7,0.0,2611544.91,1.5416056670602125,10.217057902973396,0.24999378624509272,False,False
016021,barzana,COMUNE DI BARZANA,2024,2026,345,0.0,0.0,1562773.55,0.0,0.0,0.0,True,False
016022,bedulita,COMUNE DI BEDULITA,2024,722,119,0.0,0.0,682967.5800000001,0.0,0.0,0.0,True,False
016023,berbenno,COMUNE DI BERBENNO,2024,2455,392,0.0,0.0,1813884.45,0.0,0.0,0.0,True,False
016024,bergamo,COMUNE DI BERGAMO,2024,120157,18765,2173790.57,0.0,157854635.26,18.091252028595918,115.84282280841992,1.3770837748410631,False,False
016025,berzo san fermo,COMUNE DI BERZO SAN FERMO,2024,1397,213,2708.4,0.0,907466.72,1.938725841088046,12.715492957746479,0.2984572260677505,False,False
